sha_full	sha_short	date	status	surfaces	old_scope	new_type	new_scope	new_subject	old_subject	note
d0d986f90caf5eb02d5a002cdfc035c36cc81bcb	d0d986f9	2026-09-18	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): wire Earnings to the real backend, drop fabricated panels	feat(web-provider): wire Earnings to the real backend, drop fabricated panels	legacy scope
ecbb3d5bd4bbf29b39fa6a4dc80a67665a251264	ecbb3d5b	2026-09-18	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): wire Notifications' two side panels to real data	feat(web-provider): wire Notifications' two side panels to real data	legacy scope
3bf7082bf3440c1e9d2f747b3cea7cb8c6130e75	3bf7082b	2026-09-18	ok	provider-mobile	mobile	feat	provider-mobile	feat(provider-mobile): build the real Messages screen — a genuinely missing feature	feat(mobile): build the real Messages screen — a genuinely missing feature	legacy scope
b6a3e6109f7f11b6ad05fc44a85538c5c431d8aa	b6a3e610	2026-09-18	ok	provider-mobile	mobile	fix	provider-mobile	fix(provider-mobile): persistent labels on the two remaining placeholder-only forms	fix(mobile): persistent labels on the two remaining placeholder-only forms	legacy scope
790c02f4e983ee1b233d2cf8114eb27f2ce76e6a	790c02f4	2026-09-18	ok	provider-mobile	mobile	fix	provider-mobile	fix(provider-mobile): persistent field labels everywhere, extract shared Field	fix(mobile): persistent field labels everywhere, extract shared Field	legacy scope
44737cb69c5151bf2fd21257f769ffcdf98d1b5a	44737cb6	2026-09-18	ok	provider-mobile	mobile	fix	provider-mobile	fix(provider-mobile): today-marker on calendar, tab-header consistency, service-name display	fix(mobile): today-marker on calendar, tab-header consistency, service-name display	legacy scope
3383e9e9234e26ed77186f562895b4785502fd42	3383e9e9	2026-09-18	ok	provider-mobile	mobile	fix	provider-mobile	fix(provider-mobile): equalize MetricCard row heights, humanize raw enum codes	fix(mobile): equalize MetricCard row heights, humanize raw enum codes	legacy scope
32eaeb67cd852c851edc05afb295a07e66849e7b	32eaeb67	2026-09-18	ok	provider-mobile	mobile	fix	provider-mobile	fix(provider-mobile): use the real registered client ids in provider-app	fix(mobile): use the real registered client ids in provider-app	legacy scope
7500b9437b11b952c55ee8b7b7381e8d53be847b	7500b943	2026-09-18	ok	provider-mobile	mobile	feat	provider-mobile	feat(provider-mobile): build the 7-step provider onboarding wizard	feat(mobile): build the 7-step provider onboarding wizard	legacy scope
cd69fd4d6a40c0fba7c89f700fdf3a37556028b9	cd69fd4d	2026-09-18	ok	provider-mobile	mobile	feat	provider-mobile	feat(provider-mobile): profile hub, business, pricing, services, areas, documents, settings (Sub-phase M-G)	feat(mobile): profile hub, business, pricing, services, areas, documents, settings (Sub-phase M-G)	legacy scope
9035bd3c1c2df8aab175c3ec976322c252a65a91	9035bd3c	2026-09-18	ok	provider-mobile	mobile	feat	provider-mobile	feat(provider-mobile): wallet, payouts, and invoices (Sub-phase M-F)	feat(mobile): wallet, payouts, and invoices (Sub-phase M-F)	legacy scope
81cc7775f627c9d0e3be78589afeec462f8e83e5	81cc7775	2026-09-18	ok	provider-mobile	mobile	feat	provider-mobile	feat(provider-mobile): calendar and availability (Sub-phase M-E)	feat(mobile): calendar and availability (Sub-phase M-E)	legacy scope
687a16be193bdaffcd146a7f4745c924de8256a9	687a16be	2026-09-18	ok	provider-mobile	mobile	feat	provider-mobile	feat(provider-mobile): requests, quotes, and full booking execution (Sub-phase M-D)	feat(mobile): requests, quotes, and full booking execution (Sub-phase M-D)	legacy scope
80d9ba4566466571f05625bdbe3d88f685676954	80d9ba45	2026-09-18	ok	provider-mobile	mobile	feat	provider-mobile	feat(provider-mobile): build the real provider Dashboard screen (Sub-phase M-C)	feat(mobile): build the real provider Dashboard screen (Sub-phase M-C)	legacy scope
4256403fc02b6141f0eba80ca8a976559a7f44ca	4256403f	2026-09-17	ok	provider-mobile	mobile	feat	provider-mobile	feat(provider-mobile): scaffold provider-app and build the real auth flow	feat(mobile): scaffold provider-app and build the real auth flow	legacy scope
35ba7f4c1c137c79b84555bc70517427e66adb18	35ba7f4c	2026-09-17	overridden	customer-mobile	mobile	refactor	repo	refactor(repo): move customer app into mobile/user-app/	refactor(mobile): move customer app into mobile/user-app/	structural: move customer app into mobile/user-app (Ruling 2)
4517b0c0f9ab7504a0c140ff7e11b938d1040d76	4517b0c0	2026-09-17	ok	customer-web	web-user	feat	customer-web	feat(customer-web): add forgot/reset-password flow	feat(web-user): add forgot/reset-password flow	legacy scope
1c5dea1001a990954c2fc23076b23c6135048033	1c5dea10	2026-09-17	ok	customer-web	web-user	fix	customer-web	"fix(customer-web): wire promotions ""View Terms"" to real content"	"fix(web-user): wire promotions ""View Terms"" to real content"	legacy scope
cf0d1e2c569b5aef811c939192496a258aebfc92	cf0d1e2c	2026-09-17	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): wire settings and documents to the real backend	feat(web-provider): wire settings and documents to the real backend	legacy scope
a72a5619a7cdd98cc88e74ef51297378e9f405dc	a72a5619	2026-09-17	ok	customer-web	web-user	feat	customer-web	feat(customer-web): wire profile edit to the real updateProfile()	feat(web-user): wire profile edit to the real updateProfile()	legacy scope
a3ca5aa9053c8425e7386932f3779ecb5d6ed69f	a3ca5aa9	2026-09-17	ok	customer-web	web-user	fix	customer-web	fix(customer-web): registration form missing required email field	fix(web-user): registration form missing required email field	legacy scope
b02de2fd09477288591b27bccfd636fa2a032b54	b02de2fd	2026-09-16	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): wire service areas to the real backend	feat(web-provider): wire service areas to the real backend	legacy scope
9877b1aea8e95ecd7384380f01f8469ba25ad6a6	9877b1ae	2026-09-16	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): wire My Services to the real backend	feat(web-provider): wire My Services to the real backend	legacy scope
81c98f94ffc401873a7ac66dd7eb55daa840a61b	81c98f94	2026-09-16	ok	backend	backend	fix	backend	fix(backend): provider service list/submit bugs found wiring services.tsx	fix(backend): provider service list/submit bugs found wiring services.tsx	
e716dd4131cc5423a63d1491fa72719a61ab0739	e716dd41	2026-09-16	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): wire pricing to the real 5-model backend	feat(web-provider): wire pricing to the real 5-model backend	legacy scope
318dcb63fed9eff3cc6b03e457af313e45857d3b	318dcb63	2026-09-16	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): wire profile to the real backend	feat(web-provider): wire profile to the real backend	legacy scope
172ccd1e28fab90d687feb3e3698f5c29566d1de	172ccd1e	2026-09-16	ok	backend	backend	fix	backend	fix(backend): login responses leaked the bcrypt password_hash to the client	fix(backend): login responses leaked the bcrypt password_hash to the client	
3b9c07db9f5faa62eec3eb3007a616cd68be6142	3b9c07db	2026-09-16	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): wire invoices to the real backend	feat(web-provider): wire invoices to the real backend	legacy scope
00bec63da4f6b9be8a7ed6f82f270e6e69a28b04	00bec63d	2026-09-16	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): wire wallet and payouts to the real backend	feat(web-provider): wire wallet and payouts to the real backend	legacy scope
a88ffcc4dd9aa9675ff207dcdeb749eb54d54fa4	a88ffcc4	2026-09-16	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): wire calendar and availability to the real backend	feat(web-provider): wire calendar and availability to the real backend	legacy scope
0288e9df95509fa6325b44fea0322912bf64e75c	0288e9df	2026-09-16	ok	backend	backend	fix	backend	fix(backend): availability_router.py was never registered, and its day-of-week routes crashed when it was	fix(backend): availability_router.py was never registered, and its day-of-week routes crashed when it was	
1dbfce04ce561d0b269b109af5614ded1d46ce4a	1dbfce04	2026-09-16	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): wire bookings and job execution to the real backend	feat(web-provider): wire bookings and job execution to the real backend	legacy scope
b8937adc416b9038b160e16697fd7927225e9566	b8937adc	2026-09-16	ok	backend	backend	fix	backend	fix(backend): wallet, payout and notification routers missing the standard envelope	fix(backend): wallet, payout and notification routers missing the standard envelope	
ff131424a01d08fc18392d0a86df15154d1e7368	ff131424	2026-09-16	ok	backend	backend	fix	backend	fix(backend): 9 provider routers never wrapped responses in the standard envelope	fix(backend): 9 provider routers never wrapped responses in the standard envelope	
f5b1fbd3d8eb3e49cf8218bc1bd9f1b70c856d21	f5b1fbd3	2026-09-16	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): wire requests and quotations to the real backend	feat(web-provider): wire requests and quotations to the real backend	legacy scope
2f8184d184108bf625010284acc2b67602c3798a	2f8184d1	2026-09-16	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): wire dashboard to the real backend	feat(web-provider): wire dashboard to the real backend	legacy scope
ecfbc0b5f1dab9e5dba0c5bf1085ca27a32ffcbe	ecfbc0b5	2026-09-16	ok	provider-web	web-provider	feat	provider-web	feat(provider-web): wire onboarding to the real 7-step backend flow	feat(web-provider): wire onboarding to the real 7-step backend flow	legacy scope
a52fa48a523fe493a15593c466f73d9484fe551d	a52fa48a	2026-09-16	ok	backend	backend	fix	backend	fix(backend): provider payout methods were completely broken	fix(backend): provider payout methods were completely broken	
d79cde80e849e63ccbf6b40776e1c71091498bf9	d79cde80	2026-09-16	ok	backend	backend	feat	backend	feat(backend): add generic authenticated file upload/serving endpoint	feat(backend): add generic authenticated file upload/serving endpoint	
5f545ff0d1b54b86a1be0211a73b479b1cb0ce74	5f545ff0	2026-09-16	needs_split	customer-web,provider-web	web-provider	feat			feat(web-provider): wire provider registration and OTP verification to the real backend	legacy scope
8125447ac2ce91b2d1446515917e859fb590a475	8125447a	2026-09-16	ok	cicd	cicd	fix	cicd	fix(cicd): security.yml's iac job would hard-fail on every run	fix(cicd): security.yml's iac job would hard-fail on every run	
e2fc58d0ac289b100b0bdfb265f61b87fd8afa87	e2fc58d0	2026-09-16	needs_split	cicd,repo	cicd	feat			feat(cicd): Phase 8 — deploy-production.yml, blue/green, rollback, runbooks	
4631ff6dca2e8cfc438d557d16baad8e053eb447	4631ff6d	2026-09-16	ok	cicd	cicd	feat	cicd	feat(cicd): Phase 7 — deploy-staging.yml	feat(cicd): Phase 7 — deploy-staging.yml	
09beafa6adda29b6ee0d04862ce1b8ffdb05ded9	09beafa6	2026-09-16	needs_split	backend,cicd	cicd	feat			feat(cicd): Phase 6 — build.yml, hardened Dockerfile, signed artifacts	
7e9512c28db364dafdc72970e4658750b1354ee0	7e9512c2	2026-09-16	ok	backend	backend	feat	backend	feat(backend): implement real /health/ready readiness probe	feat(backend): implement real /health/ready readiness probe	
db2d66f2bbe8c767215f878fad354fc8f711a148	db2d66f2	2026-09-16	ok	cicd	cicd	feat	cicd	feat(cicd): Phase 3 — security.yml, severity policy, exception allowlist	feat(cicd): Phase 3 — security.yml, severity policy, exception allowlist	
15e93e66c84cd99081220a26be0495250fcb0d80	15e93e66	2026-09-16	ok	cicd	cicd	feat	cicd	feat(cicd): Phase 2 — pr-checks.yml, CODEOWNERS, PR template, dependabot	feat(cicd): Phase 2 — pr-checks.yml, CODEOWNERS, PR template, dependabot	
57974cb2e4e22e31fc2ebc8f5f8b06e0c8452066	57974cb2	2026-09-16	ok	backend	backend	test	backend	test(backend): Phase 4 — real RBAC/IDOR/webhook/upload security test suite	test(backend): Phase 4 — real RBAC/IDOR/webhook/upload security test suite	
14a43d67b207dd3f4175bee0ed459dc338a11c83	14a43d67	2026-09-16	ok	backend	backend	fix	backend	fix(backend): verify uploaded file content against its declared MIME type	fix(backend): verify uploaded file content against its declared MIME type	
384c63aa11907b87943d8c8dd7ba2cd801e3626a	384c63aa	2026-09-16	ok	backend	backend	fix	backend	fix(backend): the Swala webhook has been crashing on every call, and add security headers	fix(backend): the Swala webhook has been crashing on every call, and add security headers	
5cf1fde3df0e7c593bd8cf3aa24237c161927c18	5cf1fde3	2026-09-16	needs_split	backend,customer-web,provider-web	backend	chore			chore(backend): apply ruff --fix auto-corrections repo-wide	
4b49883bd01a0bdb961421f3de2416314dbb910c	4b49883b	2026-09-16	ok	backend	backend	fix	backend	fix(backend): resolve F821 undefined-name bugs and dead code found by ruff	fix(backend): resolve F821 undefined-name bugs and dead code found by ruff	
b5ea7c7681625749a141a3b86856320311e2a50f	b5ea7c76	2026-09-15	needs_split	cicd,repo	cicd	feat			feat(cicd): Phase 1 — branch protection, secret scanning, credential hygiene	
8234065ed6413f269d60a6bcff799dd1bac139e0	8234065e	2026-09-14	ok	backend		docs	backend	docs(backend): add FIXO CI/CD and Git Security implementation handbook	docs: add FIXO CI/CD and Git Security implementation handbook	
621b6d8100c9df62a50af81efe92ad54d81f896f	621b6d81	2026-09-14	needs_split	cicd,customer-mobile,customer-web,provider-web	frontend	feat			feat(frontend): real provider auth/notifications/messages, unread badges	legacy scope
d38ce758376b87f817a5f5b6eecf13c607315e20	d38ce758	2026-09-14	ok	backend	providers	fix	backend	fix(backend): crash on registration when optional fields are omitted	fix(providers): crash on registration when optional fields are omitted	
53cb40489605cff41fb0d7238595fcb6fb2d5e8b	53cb4048	2026-09-14	ok	backend	webhooks	fix	backend	fix(backend): persist Swala delivery callbacks instead of discarding them	fix(webhooks): persist Swala delivery callbacks instead of discarding them	
7ac938de0b73dceccd94839bc8a2fbf03c3497d2	7ac938de	2026-09-14	ok	backend	integrations	feat	backend	feat(backend): add SMTP email provider, fix SMS idempotency fallback	feat(integrations): add SMTP email provider, fix SMS idempotency fallback	
5f432f3b1bd61abc863e0a2588073d1c57e90e0a	5f432f3b	2026-09-14	ok	backend	notifications	refactor	backend	refactor(backend): migrate the 8 existing call-sites onto the catalogue	refactor(notifications): migrate the 8 existing call-sites onto the catalogue	
fb4a43d27ec517d1c8810e8d993d0f926e0da48c	fb4a43d2	2026-09-14	ok	backend	notifications	feat	backend	feat(backend): wire the notification catalogue and outbox pipeline	feat(notifications): wire the notification catalogue and outbox pipeline	
c9593fedb6dddbb5f3b84a8514a9a09f9e434931	c9593fed	2026-09-14	ok	backend	notifications	feat	backend	feat(backend): add outbox/delivery schema and governed queries	feat(notifications): add outbox/delivery schema and governed queries	
edfb6c39707559442b64f45bc33c4e1533308ede	edfb6c39	2026-09-14	ok	backend	sms	fix	backend	fix(backend): enable Swala SMS integration and fix auth/routing bugs	fix(sms): enable Swala SMS integration and fix auth/routing bugs	
aa98be0d22f0faac74eacb1532cd1de9b7625d29	aa98be0d	2026-09-14	overridden	backend	integrations	refactor	backend	refactor(backend): split app/integrations/ into internal/ and external/	refactor(integrations): split app/integrations/ into internal/ and external/	backend: split app/integrations into internal/external
9f6b0c98652fb4afdf825285cb532bb4ad994b4d	9f6b0c98	2026-09-14	ok	provider	provider	feat	provider	feat(provider): Phase 54 - Account Closure	feat(provider): Phase 54 - Account Closure	R5: PRV phase/roadmap ladder keeps provider scope
8deab401c2d9b8e356868480cba31f9950ff3869	8deab401	2026-09-14	ok	provider	provider	feat	provider	feat(provider): Phase 53 - Account Restrictions & Status	feat(provider): Phase 53 - Account Restrictions & Status	R5: PRV phase/roadmap ladder keeps provider scope
e0007f7e8135d165b97c9c133c1d38e5b48a7660	e0007f7e	2026-09-14	ok	provider	provider	feat	provider	feat(provider): Phase 52 - Subscription / Provider Plans	feat(provider): Phase 52 - Subscription / Provider Plans	R5: PRV phase/roadmap ladder keeps provider scope
16654e0b2699793f5037ad4ff4a93edfc64ec419	16654e0b	2026-09-14	ok	provider	provider	feat	provider	feat(provider): Phase 51 - Activity & Audit History	feat(provider): Phase 51 - Activity & Audit History	R5: PRV phase/roadmap ladder keeps provider scope
0d81ceb68269f3fa422d925fcb4e8bf4406db9d3	0d81ceb6	2026-09-14	ok	provider	provider	feat	provider	feat(provider): Phase 50 - Settings (notifications/security/privacy)	feat(provider): Phase 50 - Settings (notifications/security/privacy)	R5: PRV phase/roadmap ladder keeps provider scope
bf5667bca63de5003ec7a023b843b6fc17c0aea2	bf5667bc	2026-09-14	ok	provider	provider	feat	provider	feat(provider): Phase 49 - Provider Analytics	feat(provider): Phase 49 - Provider Analytics	R5: PRV phase/roadmap ladder keeps provider scope
7afed6ce511ef1c5974510d10d1e5915c8cb3ad6	7afed6ce	2026-09-14	ok	provider	provider	feat	provider	feat(provider): Phase 48 - Promotions	feat(provider): Phase 48 - Promotions	R5: PRV phase/roadmap ladder keeps provider scope
799ad80c80dd8b4bd907ed82c31ccf457dc445e8	799ad80c	2026-09-14	ok	provider	provider	feat	provider	feat(provider): Phase 47 - Documents & Compliance (expiry)	feat(provider): Phase 47 - Documents & Compliance (expiry)	R5: PRV phase/roadmap ladder keeps provider scope
2db5fceb310e9bd1e0ab63091a2a14807f6ea455	2db5fceb	2026-09-14	ok	provider	provider	feat	provider	feat(provider): Phase 46 - Equipment & Tools Registry	feat(provider): Phase 46 - Equipment & Tools Registry	R5: PRV phase/roadmap ladder keeps provider scope
5f11eb583927ddc3eb5a1a240fc89895839064b6	5f11eb58	2026-09-13	ok	provider	provider	feat	provider	feat(provider): Phase 45 - Job Assignment (dispatch/technician)	feat(provider): Phase 45 - Job Assignment (dispatch/technician)	R5: PRV phase/roadmap ladder keeps provider scope
711ce378b7f56e0f248ee88211f4faa3b7899181	711ce378	2026-09-13	ok	provider	provider	feat	provider	feat(provider): Phase 44 - Team Management (workers/roles)	feat(provider): Phase 44 - Team Management (workers/roles)	R5: PRV phase/roadmap ladder keeps provider scope
c0eafe3f09b64ed9a2f0d3212d81123f39786e23	c0eafe3f	2026-09-13	ok	provider	provider	feat	provider	feat(provider): Phase 43 - Business Customers & Negotiated Rates	feat(provider): Phase 43 - Business Customers & Negotiated Rates	R5: PRV phase/roadmap ladder keeps provider scope
b0d581aa720016823233dcac1c2f1095604731e1	b0d581aa	2026-09-13	ok	provider	provider	feat	provider	feat(provider): Phase 42 - Recurring Customers (repeat-customer CRM)	feat(provider): Phase 42 - Recurring Customers (repeat-customer CRM)	R5: PRV phase/roadmap ladder keeps provider scope
da9992fd0cebfb5f3b5ad87a4578a12b1c681c8b	da9992fd	2026-09-13	ok	provider	provider	feat	provider	feat(provider): Phase 41 - Safety & Incident Reporting	feat(provider): Phase 41 - Safety & Incident Reporting	R5: PRV phase/roadmap ladder keeps provider scope
f87a6026740d864c458492466b49035a12f2f3f2	f87a6026	2026-09-13	ok	provider	provider	docs	provider	docs(provider): mark Phase 40 done, document Modules 32-39 runtime fix	docs(provider): mark Phase 40 done, document Modules 32-39 runtime fix	R5: PRV phase/roadmap ladder keeps provider scope
a1e2622ae88dd908c94c490d3a73765f182950dc	a1e2622a	2026-09-13	ok	provider	provider	fix	provider	fix(provider): repair broken Alembic migration chain (0045-0054)	fix(provider): repair broken Alembic migration chain (0045-0054)	R5: PRV phase/roadmap ladder keeps provider scope
66eb873229ebca9ff242f2ff37ef01e8cca94b42	66eb8732	2026-09-13	ok	provider	provider	feat	provider	feat(provider): Phase 40 - Provider Support (provider helpdesk)	feat(provider): Phase 40 - Provider Support (provider helpdesk)	R5: PRV phase/roadmap ladder keeps provider scope
639d973d726f4e8afa0d7526f17a929c015040b0	639d973d	2026-09-13	ok	provider	provider	docs	provider	docs(provider): full audit report for Modules 1-35	docs(provider): full audit report for Modules 1-35	R5: PRV phase/roadmap ladder keeps provider scope
dd2723aa6aa86bed3fd066b2e26965c5fb69e18a	dd2723aa	2026-09-13	ok	provider	provider	fix	provider	fix(provider): repair silent runtime failures across Modules 32-39	fix(provider): repair silent runtime failures across Modules 32-39	R5: PRV phase/roadmap ladder keeps provider scope
a7689c1a8ea2bab88607e5ff3487a1f56e0e9875	a7689c1a	2026-09-13	ok	provider	provider	fix	provider	fix(provider): job accept never actually claimed the job (Module 11)	fix(provider): job accept never actually claimed the job (Module 11)	R5: PRV phase/roadmap ladder keeps provider scope
c224913cfa1c8692f1bac999539ea74d895a22a5	c224913c	2026-09-13	ok	provider	provider	fix	provider	fix(provider): financial correctness fixes (Modules 27, 28, 30)	fix(provider): financial correctness fixes (Modules 27, 28, 30)	R5: PRV phase/roadmap ladder keeps provider scope
a96b65905f25d119a231dd4c87f51e055acb68f4	a96b6590	2026-09-13	ok	provider	provider	fix	provider	fix(provider): booking acknowledge IDOR + always-fails bug (Phase 14)	fix(provider): booking acknowledge IDOR + always-fails bug (Phase 14)	R5: PRV phase/roadmap ladder keeps provider scope
6d88235b917e02a73888b9ccfe232cb3362316ec	6d88235b	2026-09-13	ok	provider	provider	docs	provider	docs(provider): mark PRV-39 disputes done	docs(provider): mark PRV-39 disputes done	R5: PRV phase/roadmap ladder keeps provider scope
49fc0fa3694b6fb4b99b75c32327e89da69c73fa	49fc0fa3	2026-09-13	ok	provider	provider	feat	provider	feat(provider): DSL cancellation & rescheduling (Phase 38) — requests, execution logs, metrics	feat(provider): DSL cancellation & rescheduling (Phase 38) — requests, execution logs, metrics	R5: PRV phase/roadmap ladder keeps provider scope
